name,ring,quadrant,isNew,status,description
"Agile Development",Adopt,Techniques,FALSE,no change,"Итеративная разработка с частыми релизами и обратной связью от пользователей. Помогает быстрее доставлять ценность и адаптироваться к изменениям."
"DevOps",Adopt,Techniques,FALSE,no change,"Практики и инструментирование для автоматизации CI/CD и оперативной поддержки. Снижает время доставки и повышает стабильность релизов."
"Data Mesh",Assess,Techniques,TRUE,no change,"Децентрализованный подход к владению и доставке данных через доменные команды. Соответствует доменной архитектуре и повышает ответственность за качество данных."
"DataOps",Trial,Techniques,TRUE,no change,"Автоматизация и мониторинг конвейеров данных для повышения надёжности и скорости поставки. Подходит для ускорения ETL/ELT процессов и уменьшения ошибок."
"Apache Kafka",Adopt,Tools,FALSE,no change,"Распределённая платформа для потоковой передачи данных и обмена событиями. Обеспечивает надёжную и масштабируемую интеграцию между системами."
"Apache Spark",Adopt,Tools,FALSE,no change,"Фреймворк для распределённой обработки больших объёмов данных. Используется для ETL, аналитики и подготовки данных для ML."
"Apache Atlas",Trial,Tools,TRUE,no change,"Система управления метаданными и каталог для данных. Помогает строить Data Catalog и поддерживать соответствие и трассируемость."
"dbt (data build tool)",Trial,Tools,TRUE,no change,"Инструмент для декларативной трансформации данных в хранилище. Упрощает версионирование и тестирование трансформаций."
"Cloud Data Warehouse (Snowflake / BigQuery / Redshift)",Assess,Tools,TRUE,no change,"Облачные хранилища данных с высокой масштабируемостью и производительностью. Рассматриваются как замена устаревшей on-premise СУБД."
"Metabase / Tableau / Power BI",Adopt,Tools,FALSE,no change,"Инструменты визуализации и self‑service аналитики для бизнеса. Используются для быстрой генерации отчётов и дашбордов."
"Kubernetes",Trial,Platforms,FALSE,no change,"Платформа оркестрации контейнеров для управления микросервисами. Упрощает масштабирование и деплой в разных средах."
"Public Cloud (AWS / Azure / GCP)",Assess,Platforms,FALSE,no change,"Облачные провайдеры для инфраструктуры, хранилищ и управлямых сервисов. Оцениваются для миграции и повышения гибкости ресурсов."
"Existing on-premise (SQL Server 2008)",Hold,Platforms,FALSE,no change,"Устаревшая локальная инфраструктура и СУБД, используемая в legacy-системах. Не рекомендуется к расширению и требует планов миграции."
"Python",Adopt,Languages & Frameworks,FALSE,no change,"Основной язык для анализа данных и разработки ML-моделей. Широкая экосистема библиотек делает его предпочтительным выбором для Data Science."
"Java",Adopt,Languages & Frameworks,FALSE,no change,"Надёжный язык для построения бэкенд-сервисов с высокой производительностью. Используется в критичных доменах для enterprise-сервисов."
"Go",Adopt,Languages & Frameworks,TRUE,no change,"Компактный и быстрый язык для сетевых и облачных сервисов. Подходит для микросервисов с высокими требованиями к производительности."
"React / Node.js",Adopt,Languages & Frameworks,FALSE,no change,"Технологии для разработки фронтенда и JavaScript-сервисов. Используются для создания интерактивных пользовательских порталов и микросервисов."
"SQL",Adopt,Languages & Frameworks,FALSE,no change,"Стандартный язык запросов для работы с реляционными и аналитическими базами данных. Необходим для трансформации и анализа данных в хранилище."
