name,ring,quadrant,isNew,status,description
"Legacy DWH (MS SQL 2008)",Hold,Platforms,FALSE,no change,"Устаревшее хранилище на MS SQL 2008 — источник исторических данных; удерживать до полной миграции в новый DWH."
"Power Builder",Hold,Tools,FALSE,no change,"Устаревший интерфейс и клиентский стек с высокой стоимостью поддержки; постепенно заменяется порталом самообслуживания."
"Клинические Операции (EMR)",Adopt,Platforms,FALSE,no change,"Ключевой источник чувствительных медицинских данных для диагностики и ИИ‑сервисов; интегрировать напрямую с аналитикой и ML."
"Финтех‑сервисы (Golang/Java)",Adopt,Platforms,FALSE,no change,"Сервисы финансовых транзакций и счетов — должны передавать данные в потоковую платформу для реального времени и аналитики."
"Фармацевтические Операции",Adopt,Platforms,TRUE,no change,"Новые интегрируемые системы фарма‑операций; данные планируется собирать через потоковую шину."
"Медицинская электроника (Med. Electronics Operations)",Adopt,Platforms,TRUE,no change,"Новые устройства и системы медэлектроники; интеграция через потоковую платформу для мониторинга и аналитики."
"Управление ресурсами (HR/WMS)",Adopt,Platforms,FALSE,no change,"Источник данных о персонале и инвентаризации; подключение к платформе потоковой передачи для аналитики и отчетности."
"Apache Camel",Hold,Tools,FALSE,no change,"Существующая интеграционная шина для legacy‑интеграций; планируется заменить Kafka, но сохранить для специфичных связок при необходимости."
"Apache Kafka",Adopt,Tools,TRUE,no change,"Высокопроизводительная платформа потоковой передачи сообщений для интеграции в реальном времени и фундамента Data Platform."
"Data Lake (HDFS/MinIO/S3‑compatible)",Adopt,Platforms,TRUE,no change,"Централизованное хранилище сырых и полу‑структурированных данных для последующей обработки и репликации в DWH."
"Apache Spark / Flink",Adopt,Tools,TRUE,no change,"Распределённые движки пакетной и потоковой обработки данных для ETL/ELT и real‑time аналитики."
"Современное DWH (ClickHouse/Snowflake/Trino)",Adopt,Platforms,TRUE,no change,"Высокопроизводительное аналитическое хранилище для очищенных, агрегированных данных и витрин."
"Витрины данных (Data Marts)",Adopt,Platforms,TRUE,no change,"Оптимизированные и агрегированные наборы данных для конечных бизнес‑пользователей и BI‑инструментов."
"API доступа к данным (Java/Spring Boot)",Adopt,Tools,TRUE,no change,"Унифицированный и безопасный программный доступ к витринам данных через стандартизованные API."
"Сервис метаданных и Governance (Apache Atlas / кастомно)",Adopt,Tools,TRUE,no change,"Каталог данных, lineage, качество и управление доступом для обеспечения прозрачности и контроля данных."
"dbt (data build tool)",Trial,Tools,TRUE,no change,"Инструмент для версионирования и стандартизации трансформаций в DWH; рекомендован для trial‑внедрения."
"ИИ‑сервисы (Python)",Adopt,Tools,FALSE,no change,"Сервисы для диагностики и аналитики, потребляющие клинические данные и публикующие агрегированные результаты."
"Power BI",Adopt,Tools,FALSE,no change,"Существующий BI‑инструмент, будет переподключён к новым, оптимизированным витринам данных."
"Портал Самообслуживания (React/Angular, Java/Spring)",Adopt,Tools,TRUE,no change,"Новый web‑портал для бизнес‑пользователей для создания и просмотра отчётов и дашбордов."
"On‑premise servers",Assess,Platforms,FALSE,no change,"Текущая on‑prem инфраструктура — рассматривается частичная или полная миграция в облако для масштабирования и гибкости."
"Docker / Kubernetes",Adopt,Tools,TRUE,no change,"Контейнеризация и оркестрация для микросервисов, гибкого развертывания и масштабирования платформы данных."
"Cloud providers (AWS/Azure/GCP)",Assess,Platforms,TRUE,no change,"Облачные провайдеры для оценки миграции и использования управляемых сервисов для Data Platform."
"Data Mesh / DDD",Adopt,Techniques,FALSE,no change,"Децентрализованный подход к владению и доставке данных по доменам; фокус на доменной ответственности и автономии команд."
"Data Governance",Adopt,Techniques,TRUE,no change,"Формализация политик, процессов и ответственности за данные для обеспечения качества, безопасности и соответствия."
"DevOps / DataOps",Adopt,Techniques,TRUE,no change,"Автоматизация CI/CD и конвейеров данных для ускорения поставки, тестирования и мониторинга платформы данных."
"Feature Store",Adopt,Platforms,TRUE,no change,"Централизованное хранилище признаков для ML для обеспечения консистентности, повторного использования и доступа в онлайн/оффлайн режимах."
"Spring Framework",Adopt,"Languages & Frameworks",TRUE,no change,"Основной фреймворк для разработки серверной логики и API; стандарт для Java‑экосистемы."
"Spring Boot",Adopt,"Languages & Frameworks",TRUE,no change,"Opinionated надстройка над Spring для быстрого создания микросервисов и REST API."
"Java",Adopt,"Languages & Frameworks",FALSE,no change,"Язык для бэкенд‑сервисов и интеграций (финтех, API); долгосрочная поддержка и экосистема."
"Python",Adopt,"Languages & Frameworks",FALSE,no change,"Язык для ИИ/ML‑сервисов, аналитики и прототипирования моделей."
"Golang",Adopt,"Languages & Frameworks",FALSE,no change,"Язык для высокопроизводительных микросервисов (в частности финтех) и сетевых компонентов."
"JavaScript/TypeScript",Adopt,"Languages & Frameworks",TRUE,no change,"Языки для фронтенд‑разработки и портала самообслуживания; TypeScript предпочтителен для типизации."
"React",Adopt,"Languages & Frameworks",TRUE,no change,"Фреймворк/библиотека для построения интерфейсов портала самообслуживания."
"Angular",Adopt,"Languages & Frameworks",TRUE,no change,"Фреймворк для сложных корпоративных интерфейсов; одна из опций портала."
"PowerBuilder",Hold,"Languages & Frameworks",FALSE,no change,"Устаревший RAD‑фреймворк и язык клиентских приложений; удерживать до полной замены."
"SQL",Adopt,"Languages & Frameworks",FALSE,no change,"Язык запросов для DWH и аналитики (ClickHouse/Snowflake/Trino); стандарт для аналитической работы."
"Scala",Assess,"Languages & Frameworks",FALSE,no change,"Язык, используемый в прошлом с Apache Spark; оценить необходимость в новых проектах."
